#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: moddump
# Plugin Description: Dump a kernel driver to an executable file sample
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" moddump --profile=Win7SP1x64 --dump-dir "C:\xavier\xavier_framework\export\memory_analysis\2022_01_17_20_08_42\moddump
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Module Base        Module Name          Result
------------------ -------------------- ------
0xfffff80002a48000 ntoskrnl.exe         OK: driver.fffff80002a48000.sys
File Name: USBPORT.SYS_driver.fffff88004053000.sys	 File Size: 327.17 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: f4936ccde4214cd6d5ec19e0a93e2843	 SHA-256: 8eab2960b5c9d2c0d0a39feb3b91b63f1fa6536ab8b4dd04afae9b4e89af228f	 
File Name: E1G6032E.sys_driver.fffff880040aa000.sys	 File Size: 145.79 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 09e889842c570ff83a9925982120d080	 SHA-256: d8997732ecc91ed280213c35746ffbe6d8f418cfa116fa0bce07a69ff28b614d	 
File Name: usbehci.sys_driver.fffff880040ce000.sys	 File Size: 56.32 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 5ac6ad82fe1d279c766c111a6c645760	 SHA-256: 1ef476dbde4bf744750d75e2b231c1f0839061a24c27ab9485e3acbcf252dda7	 
File Name: CmBatt.sys_driver.fffff880040e0000.sys	 File Size: 17.66 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 65552d94e317a4f9c21121fbaff4223f	 SHA-256: c87475cb94e68fd044c61ec392b9f5ce671e2f9febe2c60ef9a7494042bf846a	 
File Name: dxgkrnl.sys_driver.fffff880040e9000.sys	 File Size: 979.97 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: c04eb69deddc22963ef63f93942008c4	 SHA-256: e31cb1c37cb6bafed2d6887f7620114bb02a4fefc9767149fa1e937c40065a45	 
File Name: amdppm.sys_driver.fffff880041de000.sys	 File Size: 60.93 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: addd1eed11aaa54d530795e4c5192805	 SHA-256: e1a8b5d084a73dfeefc967459b0330949ee31cfc9b41115388d0ee2a36b7c237	 
File Name: ndistapi.sys_driver.fffff880041f3000.sys	 File Size: 24.06 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: 51a73dc5c4e568d30b9096e60ac0eabd	 SHA-256: 804821ebc949ae86e0794410bdd5ad3f4f8814762d18307c0cd2bc22645113b8	 
File Name: portcls.sys_driver.fffff88004200000.sys	 File Size: 230.4 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 68bf1d236cee781a67d568d322755c93	 SHA-256: 3f3595b21bf8ac0ff43be0b12f0544f753a270209ad016db7672cdb44c8b436	 
File Name: ndiswan.sys_driver.fffff88004243000.sys	 File Size: 164.35 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: ef97c9a911421145690b00331f59118f	 SHA-256: b357dd9fe10e71db73b9021e47030f6483ef7275acf5e38a7915031e0f00b7c9	 
File Name: raspppoe.sys_driver.fffff88004272000.sys	 File Size: 92.67 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 68a24da0005d356fc94b3ff81ab566af	 SHA-256: 5219592eac2469510a079f855e098974aaaffb2c43d27d49f7aefed0de0924bb	 
File Name: raspptp.sys_driver.fffff8800428d000.sys	 File Size: 111.1 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: b528da59f454859e2d114788440f8ead	 SHA-256: d98168c1e640033a85eaeee0e281c50f50f75a06d8745813d1bbe2a5eaa24b48	 
File Name: rassstp.sys_driver.fffff880042ae000.sys	 File Size: 83.97 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: bf50962a3a3e82bfbbb8797915788aac	 SHA-256: f094f55364447a1c12b8e128dfa2b862dece99a464d393b6812d19bdf6cfdace	 
File Name: rdpbus.sys_driver.fffff880042c8000.sys	 File Size: 24.06 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 871aaa1145cbfba7c88f33f4c5945e37	 SHA-256: b638a627f733da0654da7c059439ea177ea1397a355768faf272e7b8bd80981e	 
File Name: swenum.sys_driver.fffff880042d3000.sys	 File Size: 5.25 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 614a1f6be912df6ea52e6608ef281a65	 SHA-256: 2ddbcc6efd9a4b781f21b70d24184ede5e2ced711ffe122dedfb18c6cd26f5d7	 
File Name: ks.sys_driver.fffff880042d5000.sys	 File Size: 243.71 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: cb04ffb5617595492f77e4ce9291257e	 SHA-256: 45cfd674a970b050a477a78ef31265b9aaa10df26cd3efd69aac25d9aa29e988	 
File Name: umbus.sys_driver.fffff88004318000.sys	 File Size: 48.64 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 03089b879fb98cb2149ad606085c001b	 SHA-256: 2ddc683024cd1f5ebb5b240375283f9b932e9293cab8404dc542b6262dbc59b7	 
File Name: usbhub.sys_driver.fffff8800432a000.sys	 File Size: 344.06 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: dc4e19c5cf55a5d136a330b05134c17e	 SHA-256: d66aa52d2628acbf9e5f74c9f7ee27c88b65178ce57baedc89d010469985d098	 
File Name: NDProxy.SYS_driver.fffff88004384000.sys	 File Size: 57.86 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 2723a8dfcc25e5519dae91a79ed168ad	 SHA-256: de61a6b6d1e43a302aad7f2d300939a0fa4f4e56595f7f0ce4afd6d2c3a5b7cb	 
File Name: HdAudio.sys_driver.fffff88004399000.sys	 File Size: 350.21 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: c77cb006435ac4023d2d9e70679f8b47	 SHA-256: 347c26284de58a2fa500a0d717f9643898c62d2d5e53801f3a4bc8ac24174a01	 
File Name: srvnet.sys_driver.fffff88004600000.sys	 File Size: 169.98 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: be2c1ebb0ac0d99ee1b92f6d70017adb	 SHA-256: 2fbf4c152c84e5e93df5c6956e3725db7d9bf34f42a9ff29cdca9c7679d618ce	 
File Name: BthEnum.sys_driver.fffff88004631000.sys	 File Size: 41.98 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 92ae8ebe39ad90a95005f91fec3894e7	 SHA-256: 1de3bc310702e9952e053a5eca079f68534bcf7de936168005e83738957e6701	 
File Name: bthpan.sys_driver.fffff88004641000.sys	 File Size: 119.3 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 1f27839975e0a7480f68e76f13e6a2f4	 SHA-256: 9431dfd6e2ee729be257f9bf15f7e9b1175f32f54ba7669ff69cc81f1c1d77e9	 
File Name: tcpipreg.sys_driver.fffff88004661000.sys	 File Size: 46.08 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: 635bad6f453dc6d0c405ba6e179685f6	 SHA-256: 334cd0178817bb209b2ac857eb45822dcf259794471e55416d14440f6ba04a64	 
File Name: srv2.sys_driver.fffff88004673000.sys	 File Size: 406.02 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: cef840ab4045d55c76f9d2db291b0098	 SHA-256: 1c5979c4b8ee6cf1b31a361ced2103502d14ac5098bc5610b5065a89d05041b1	 
File Name: peauth.sys_driver.fffff880046fe000.sys	 File Size: 663.55 KBs	 Creation Date: 2022-01-17-2025:59	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: 02982d9423b873297f9f0e49548e669c	 SHA-256: 41cd48ea8bcfef3e792d4e7775277e8e88f911c5094b3e6f648035acba90767e	 
File Name: rfcomm.sys_driver.fffff880047a8000.sys	 File Size: 158.72 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: c15e817a96f30fc62836f58121abc6ad	 SHA-256: 2e9f4a77c7b9ae72593b97d32c2eff96ceeef3de87bbd477048649ff1fbfe5e2	 
File Name: mrxsmb10.sys_driver.fffff88004c00000.sys	 File Size: 291.33 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 378a3ea180b8e7c9743237b9e9994851	 SHA-256: c78ebf2d6c8f0eec079d89d08b1fb698ed00e2a5a714822a27f22fcf4c42b9e3	 
File Name: mrxsmb20.sys_driver.fffff88004c4e000.sys	 File Size: 129.54 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: 0d4f2854043929faab39124b55117788	 SHA-256: 17b7c8703411a2a2dfefbe3117fa738bfcebf1ebdac545ecc41f05bd4118ca12	 
File Name: drmk.sys_driver.fffff88004c74000.sys	 File Size: 116.74 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: ac054575391df1528d3c784d4828dc63	 SHA-256: e0bc822a1cf5a448eead5a3457ac42eceb00a024b75bbf5c39563815d6c0e1aa	 
File Name: ksthunk.sys_driver.fffff88004c96000.sys	 File Size: 20.99 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: 25268b988c021023dce57d61135fb8ee	 SHA-256: 8c8fda84708207f95ff9798c64e95b4cb4dc6516b17a8b3314d5997714d34803	 
File Name: crashdmp.sys_driver.fffff88004c9c000.sys	 File Size: 32.26 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 5afdbbaae1ef577a552d0ddfe5ebecdd	 SHA-256: 5ed52f1adb6f6a2eb0e9e3d5f7dafbbe07dbe4bcfeefb3c487de5b4a9b694128	 
File Name: dump_storport.sys_driver.fffff88004caa000.sys	 File Size: 20.48 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 2b11c2cdd53b3845854767ed131cfd78	 SHA-256: 31e227cc0d27d7f757fadca16d62b4c6478fddba1c10e2e9c64df394f193562d	 
File Name: dump_LSI_SAS.sys_driver.fffff88004cb4000.sys	 File Size: 99.33 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: c22c8eedb926e9a01465e0943413732a	 SHA-256: 57e34f2678a589f7b4cd6f81d34b8206955067db7072852063b92f6a649b436c	 
File Name: dump_dumpfve.sys_driver.fffff88004cd1000.sys	 File Size: 47.1 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 4f8968cf00ff72bd39588b9c1f8ae177	 SHA-256: 35b53276643c6a0e51dc14cda6d98ad3b4a20b85e9b2d008cbe5bb98449ba589	 
File Name: Dxapi.sys_driver.fffff88004ce4000.sys	 File Size: 16.9 KBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: 732436c0abc0ad030e1a8b6aa3b1e27f	 SHA-256: 5622bc5e2207576db26c5b012c1b95421c5fa72160529a2933bf61bd01450427	 
File Name: monitor.sys_driver.fffff88004cf0000.sys	 File Size: 30.21 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 78fdf0330f53abab65d366542d401fed	 SHA-256: 62087781b0e4a87f197285876bee4894a85eaa32fb709d4a440110b3d2723296	 
File Name: luafv.sys_driver.fffff88004cfe000.sys	 File Size: 113.15 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: 70988ae4999eb53514fe3b1a43e64ea7	 SHA-256: 6f5aaafe7536cf4d6864e772893908e32637ed478277ca47c61bb3e378aa15db	 
File Name: lltdio.sys_driver.fffff88004d21000.sys	 File Size: 60.93 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: a734cd45254f2ec69a1dc049d7ec7b7d	 SHA-256: dbc70ffc0e2d8a99381534ebce4b790cb140109b328514bf98de2e598d38e17c	 
File Name: rspndr.sys_driver.fffff88004d36000.sys	 File Size: 76.8 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 89049255ebc9c9b8eb565418eec84996	 SHA-256: 78cd8337947b5b74a9799aa113b523e38d27d0063aa630e7e1e7a8e11f3f305e	 
File Name: usbccgp.sys_driver.fffff88004d4e000.sys	 File Size: 99.84 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: d02a002ff11edc3181c05441eaa7c848	 SHA-256: 87cf66edc29caeef0ee433967dc9b5ca8c6b8d20104c8c90e34bfd93d73abfca	 
File Name: USBD.SYS_driver.fffff88004d6b000.sys	 File Size: 7.81 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 75871a929ccac761f7043d7715417a25	 SHA-256: 83dffd3bbc3ed1dd518a38b7cc461fd5a53c13f903321cbfb77724161176969e	 
File Name: hidusb.sys_driver.fffff88004d6d000.sys	 File Size: 30.21 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: ba9e91d404174527420d68d4b31c23a1	 SHA-256: cfb880f5607aae670b023f5962c132eb62517b93b253428aae0e0d11ff848c96	 
File Name: HIDCLASS.SYS_driver.fffff88004d7b000.sys	 File Size: 76.8 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: a0b0ebd85086820ee01196527e8eacfb	 SHA-256: 6475dc2efe63058f15ff97b6cea03f83c9b9360b20fdc3d1c5d737298646296a	 
File Name: HIDPARSE.SYS_driver.fffff88004d94000.sys	 File Size: 32.9 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 88cac05e82e1a6225457830720cab9fc	 SHA-256: 9991a4d2fdfb7fe546bf16c747f284ff4eafa88416ed3ad80352731da326baa4	 
File Name: mouhid.sys_driver.fffff88004d9d000.sys	 File Size: 31.23 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: 4ad1e5b733552418238ff2724ed87b5e	 SHA-256: 6bf0afd6d1654d9e285b6fb30c5f77ec95e1bed943422ed645ef425b65f05e94	 
File Name: vmusbmouse.sys_driver.fffff88004daa000.sys	 File Size: 10.24 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: b44a95fa6f99ba319218fcbb806cff9f	 SHA-256: 2a89b7d178c23b5b33456e38c67b208e99a7e7c1aff5821bfc39b910d8dcbed4	 
File Name: spsys.sys_driver.fffff88005000000.sys	 File Size: 426.5 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: 7a9560e3399f829f6bba74b39696d4bf	 SHA-256: b9f6848c1ca0a532a16ceab41bad1e1c7abf491057d59a5995118af2296d5baf	 
File Name: rdpdr.sys_driver.fffff88005071000.sys	 File Size: 165.89 KBs	 Creation Date: 2022-01-17-2025:59	 Last Accessed: 2022-01-17-2025:59	 Last Modified: 2022-01-17-2025:59	 MD5: e21f3843f7dfbb014792fcc5c0777bfe	 SHA-256: ee7964f1a614b08ced1c62848d5414af38d0e6afcb593ae9f9d64bd71bb0b267	 
File Name: tdtcp.sys_driver.fffff8800509f000.sys	 File Size: 23.55 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: c6232df9e55d2bd29628d9e2e1f6f669	 SHA-256: f8af33bc8ff42e150ded22b34349bba8bb9039510f5457e1d367eeb9b4e9a542	 
File Name: tssecsrv.sys_driver.fffff880050aa000.sys	 File Size: 40.45 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: bda2549bec8d5338b07e7204ed203799	 SHA-256: 6680708ef25795b41f7168615d43919c42399c23df41cff1f08f86971e342d83	 
File Name: srv.sys_driver.fffff880050ee000.sys	 File Size: 464.38 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: 5df5d9b7fcfc83dda1e8ec3ee82e341a	 SHA-256: d09fe924afa8f92cbb4f13eea8436d9965dd4314ecfac96b977947ab80347b35	 
File Name: vmhgfs.sys_driver.fffff88005185000.sys	 File Size: 151.55 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 85837a847fafc1d84b68e42df69d5731	 SHA-256: ab6fe7ce0d7e5caba403fd5fab187641c2aecceda7e81fa64550748faed351d5	 
File Name: RDPWD.SYS_driver.fffff880051b0000.sys	 File Size: 212.48 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: 1ad5de9906b02bd6e3d44c22321dc342	 SHA-256: 69f0596b30745c5777e47b0f24134f8fc65957717a615e7b1201f654604fe6	 
File Name: asyncmac.sys_driver.fffff880051ea000.sys	 File Size: 23.04 KBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: 66faa3876c2f1327ce64b8ab68dbd180	 SHA-256: a3ae003276378d37102aedef083f09df2436a08d998821291e40e8151cd062d2	 
File Name: ad_driver.sys_driver.fffff880051f5000.sys	 File Size: 19.46 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: 0b1b130a654a122065a1d419ae3eb690	 SHA-256: e7aad766e27f6e7db76d0578626c77ea7e3333d167f029264a904a801d216fd	 
File Name: win32k.sys_driver.fffff96000090000.sys	 File Size: 3.22 MBs	 Creation Date: 2022-01-17-2026:09	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: c46feac9ea3c7bf40da78dd79864c2de	 SHA-256: b5475109945086513781beb6530bfb91203e62077dc7c3f389a8e8ed849868d5	 
File Name: TSDDD.dll_driver.fffff96000500000.sys	 File Size: 17.41 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: 7a5e8d1f97f7596d6f36378ff9e1efcb	 SHA-256: 87e4bf915368f7b40605548fa25e01c26a112deaaeb150025c862ae30353f490	 
File Name: cdd.dll_driver.fffff96000600000.sys	 File Size: 144.38 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 410c2178c976ec0497dea7cac1b53173	 SHA-256: 95fd1a2d9fd901162fa42e3a3d9182c8e3851b96e6f9d796894dafc05872cccf	 
